,BTC_to_propose_agent,BTC_to_receive_agent,accept_min,accept_max,accepted
344,55,45,50,100,False
345,45,55,50,100,True
346,54,46,50,100,False
347,55,45,38,100,True
348,60,40,49,100,False
349,55,45,43,100,True
350,54,46,44,100,True
351,58,42,49,100,False
352,46,54,44,100,True
353,53,47,49,100,False
354,60,40,50,100,False
355,53,47,50,100,False
356,55,45,50,100,False
357,57,43,38,100,True
358,59,41,42,100,False
359,57,43,38,100,True
360,56,44,44,100,True
361,49,51,40,100,True
362,54,46,50,100,False
363,60,40,43,100,False
364,65,35,50,100,False
365,58,42,37,100,True
366,51,49,49,100,True
367,51,49,45,100,True
368,51,49,44,100,True
369,50,50,44,100,True
370,56,44,43,100,True
371,53,47,42,100,True
372,50,50,45,100,True
373,56,44,40,100,True
374,56,44,39,100,True
375,55,45,47,100,False
376,67,33,42,100,False
377,57,43,50,100,False
378,54,46,48,100,False
379,57,43,43,100,True
380,53,47,43,100,True
381,49,51,50,100,True
382,61,39,48,100,False
383,59,41,43,100,False
384,49,51,45,100,True
385,61,39,44,100,False
386,56,44,42,100,True
387,58,42,42,100,True
388,45,55,45,100,True
389,54,46,48,100,False
390,56,44,47,100,False
391,64,36,50,100,False
392,57,43,45,100,False
393,49,51,44,100,True
394,55,45,43,100,True
395,49,51,45,100,True
396,66,34,39,100,False
397,58,42,50,100,False
398,50,50,48,100,True
399,59,41,39,100,True
400,55,45,37,100,True
401,59,41,39,100,True
402,58,42,47,100,False
403,51,49,50,100,False
404,67,33,50,100,False
405,54,46,41,100,True
406,58,42,45,100,False
407,49,51,42,100,True
408,55,45,41,100,True
409,55,45,50,100,False
410,51,49,41,100,True
411,68,32,43,100,False
412,42,58,45,100,True
413,55,45,42,100,True
414,51,49,50,100,False
415,54,46,45,100,True
416,52,48,40,100,True
417,53,47,42,100,True
418,55,45,44,100,True
419,52,48,45,100,True
420,50,50,46,100,True
421,50,50,46,100,True
422,44,56,46,100,True
423,55,45,40,100,True
424,52,48,50,100,False
425,45,55,43,100,True
426,57,43,48,100,False
427,50,50,44,100,True
428,44,56,44,100,True
429,57,43,39,100,True
430,54,46,34,100,True
431,54,46,50,100,False
432,51,49,45,100,True
433,49,51,46,100,True
434,65,35,44,100,False
435,53,47,45,100,True
436,54,46,43,100,True
437,56,44,50,100,False
438,57,43,45,100,False
439,56,44,40,100,True
